nose_1,nose_2,nose_3,nose_4,nose_5,nose_6,L_ear_1,L_ear_2,L_ear_3,L_ear_4,L_ear_5,L_ear_6,R_ear_1,R_ear_2,R_ear_3,R_ear_4,R_ear_5,R_ear_6,neck_1,neck_2,neck_3,neck_4,neck_5,neck_6,L_shoulder_1,L_shoulder_2,L_shoulder_3,L_shoulder_4,L_shoulder_5,L_shoulder_6,R_shoulder_1,R_shoulder_2,R_shoulder_3,R_shoulder_4,R_shoulder_5,R_shoulder_6,L_elbow_1,L_elbow_2,L_elbow_3,L_elbow_4,L_elbow_5,L_elbow_6,R_elbow_1,R_elbow_2,R_elbow_3,R_elbow_4,R_elbow_5,R_elbow_6,L_wrist_1,L_wrist_2,L_wrist_3,L_wrist_4,L_wrist_5,L_wrist_6,R_wrist_1,R_wrist_2,R_wrist_3,R_wrist_4,R_wrist_5,R_wrist_6,S_tail_1,S_tail_2,S_tail_3,S_tail_4,S_tail_5,S_tail_6,E_tail_1,E_tail_2,E_tail_3,E_tail_4,E_tail_5,E_tail_6,L_knee_1,L_knee_2,L_knee_3,L_knee_4,L_knee_5,L_knee_6,R_knee_1,R_knee_2,R_knee_3,R_knee_4,R_knee_5,R_knee_6,L_ankle_1,L_ankle_2,L_ankle_3,L_ankle_4,L_ankle_5,L_ankle_6,R_ankle_1,R_ankle_2,R_ankle_3,R_ankle_4,R_ankle_5,R_ankle_6,L_eye_1,L_eye_2,L_eye_3,L_eye_4,L_eye_5,L_eye_6,R_eye_1,R_eye_2,R_eye_3,R_eye_4,R_eye_5,R_eye_6
-29.9455957523829,-84.0771304922599,3193.18132813628,0.12,0.8,1,12.0321540777125,-45.9629664869554,3124.98936201578,0.56,0.9,1,103.486408263249,-96.3857625616932,3178.69035606823,0.56,0.9,1,104.678226864205,-38.8451020083667,3168.00460200019,0.1,0.66,0.03,-25.3961801429859,33.8220938988388,3222.08839297813,0.85,0.07,0.09,39.4247539926342,-102.08568275963,3271.07240398603,0.95,0.49,0.05,-111.488262621988,36.4000887250866,3273.23381568023,0.85,0.07,0.09,-36.0234712850768,-5.81604502600315,3400.38863703777,0.95,0.49,0.05,-174.414384283792,-138.150208597344,3278.8499201538,0.85,0.07,0.09,-130.424077269999,-140.615058264837,3339.91109385069,0.95,0.49,0.05,302.722529484688,308.744079524351,3299.72220897297,0.1,0.66,0.03,413.610127863817,482.212427083999,3397.38934723092,0.96,0.94,0.08,253.200205137919,520.272868578269,3430.20940289597,0.25,0.08,0.96,264.01724050764,443.875298079933,3521.71656567609,0.78,0.08,0.96,377.324069395297,578.839337377547,3443.38570639429,0.25,0.08,0.96,360.847901338587,498.037236576818,3561.57222452533,0.78,0.08,0.96,-5.65886890844063,-86.8080282810158,3161.17337585694,0,0,0,5.19108868907513,-93.7855951704276,3174.61548486044,0.4,0.4,0.4
-27.8637659932871,-86.3940335268612,3192.10164396683,0.12,0.8,1,14.1228557399142,-43.3472474173507,3120.76424025637,0.56,0.9,1,72.1905155883782,-128.478297037157,3175.79076636405,0.56,0.9,1,103.150682959498,-42.5179452370536,3167.29970219011,0.1,0.66,0.03,-24.2617304938155,34.7111085254618,3219.77315935492,0.85,0.07,0.09,41.7485319534918,-101.529340030037,3268.20953649907,0.95,0.49,0.05,-110.012379825061,47.0650644267536,3270.63789056184,0.85,0.07,0.09,-34.2165917166548,-11.36545297938,3397.82300732987,0.95,0.49,0.05,-176.837209775619,-137.474939341904,3275.78068921769,0.85,0.07,0.09,-131.891872448378,-140.585116154965,3345.1380503987,0.95,0.49,0.05,300.924682272194,298.81396426809,3297.86277716556,0.1,0.66,0.03,415.185392920745,479.097294835092,3393.78250936366,0.96,0.94,0.08,250.151465401801,521.206772752958,3426.89999013894,0.25,0.08,0.96,263.954513092738,442.553246814929,3522.04102026328,0.78,0.08,0.96,379.250255585169,575.391838073297,3440.7380478099,0.25,0.08,0.96,363.278662459858,496.540473151598,3560.49226347343,0.78,0.08,0.96,-3.18695694725038,-84.6926129238514,3158.56613554055,0,0,0,8.02207517961598,-94.1375080515713,3173.72074300115,0.4,0.4,0.4
-26.2758738511258,-88.1981840322443,3189.08856556535,0.12,0.8,1,15.5096641032309,-43.7189519070898,3120.73838398585,0.56,0.9,1,72.7834735774425,-128.051847009171,3175.4072843822,0.56,0.9,1,105.666814398161,-40.9715545240207,3167.06954434578,0.1,0.66,0.03,-20.2930908014319,33.4261166200551,3221.98721843517,0.85,0.07,0.09,41.9929019837512,-99.879762941961,3266.69319253173,0.95,0.49,0.05,-109.899264125084,45.0897971416353,3271.88870636108,0.85,0.07,0.09,-29.6950660946893,-48.2335460594317,3394.02409071062,0.95,0.49,0.05,-175.036108908534,-135.967286114236,3275.09535101363,0.85,0.07,0.09,-132.138359920572,-138.297970286579,3346.0433566246,0.95,0.49,0.05,299.688339564447,300.754966980888,3297.59258357338,0.1,0.66,0.03,415.33594735963,481.015657434536,3394.77303737148,0.96,0.94,0.08,251.690250458534,519.746531763957,3425.88852782279,0.25,0.08,0.96,287.769504906307,360.66588510085,3511.27501471542,0.78,0.08,0.96,376.577221909294,575.67730238563,3442.02775522001,0.25,0.08,0.96,361.912928700215,499.440578911234,3560.05621294446,0.78,0.08,0.96,-0.0985491823272093,-83.358305753035,3155.48392101108,0,0,0,11.1610296262519,-95.7748693542805,3172.15172422017,0.4,0.4,0.4
-28.6672841005108,-89.0135465360519,3192.20884375098,0.12,0.8,1,13.8936997396678,-48.1607796259594,3121.35985233218,0.56,0.9,1,74.1042210759165,-130.03801043928,3179.22860460335,0.56,0.9,1,102.516730786058,-39.4678001520389,3170.5397338669,0.1,0.66,0.03,-22.9098076673512,31.8984360243819,3220.49962249559,0.85,0.07,0.09,104.797242541623,-15.0491551722454,3267.74084274893,0.95,0.49,0.05,-111.387913021193,45.9314021662101,3270.93085504621,0.85,0.07,0.09,-31.2919088897552,-51.0902145657504,3398.14602356866,0.95,0.49,0.05,-174.429194770153,-134.356541584296,3276.46130814638,0.85,0.07,0.09,-131.616451469449,-137.259542718743,3346.21542230016,0.95,0.49,0.05,298.412210907198,305.641922636334,3296.62762223111,0.1,0.66,0.03,415.748513069978,479.024704604574,3400.83826688824,0.96,0.94,0.08,249.914886661,521.773305886671,3427.05221333685,0.25,0.08,0.96,287.989991913072,360.101798558057,3513.17215852481,0.78,0.08,0.96,375.189353612636,578.498839979694,3443.86221510396,0.25,0.08,0.96,360.793157331223,500.927104581365,3561.49684274612,0.78,0.08,0.96,-1.12046509101186,-88.1515788217613,3159.46736928201,0,0,0,10.1437468958907,-97.3867521497789,3173.67362807725,0.4,0.4,0.4
-27.1134219883751,-90.3957589705581,3192.16583517873,0.12,0.8,1,13.2471123297725,-43.4313019237915,3122.19608482193,0.56,0.9,1,74.7701609588246,-129.915579797779,3180.41659006853,0.56,0.9,1,101.08790972653,-36.6606599987614,3171.93283408616,0.1,0.66,0.03,-21.4235900963603,28.182308301053,3217.91616468281,0.85,0.07,0.09,104.562095151972,-15.9652085058842,3267.75185621528,0.95,0.49,0.05,-113.097942774347,46.6460548086111,3268.77891418482,0.85,0.07,0.09,-29.6256576142191,-46.3226308557724,3398.33755330182,0.95,0.49,0.05,-173.075420109973,-136.954025778479,3276.10050755987,0.85,0.07,0.09,-132.780346991738,-137.704643429796,3345.9322453014,0.95,0.49,0.05,298.470502563193,303.610304130765,3299.50303226362,0.1,0.66,0.03,415.145244315003,477.921922733009,3399.67334552731,0.96,0.94,0.08,246.627607994931,522.771362120176,3428.67365933512,0.25,0.08,0.96,288.510950207954,359.683410670643,3513.91506084153,0.78,0.08,0.96,373.604333250376,577.005016824696,3445.12118887645,0.25,0.08,0.96,362.64116265605,502.466435126227,3562.94135980539,0.78,0.08,0.96,-1.17666353932765,-87.6954169591926,3160.17065128083,0,0,0,11.4727355224703,-97.4618033375284,3174.37436286807,0.4,0.4,0.4
-25.83077868839,-92.5284956680288,3187.56190926609,0.12,0.8,1,15.2578780555134,-45.5250565435935,3121.83100171782,0.56,0.9,1,112.075127712199,-100.532258983022,3180.84390176897,0.56,0.9,1,103.079569245254,-39.2240772556952,3172.72015554833,0.1,0.66,0.03,-20.5023978694755,21.7540107957845,3219.17539976244,0.85,0.07,0.09,99.6839484754662,-16.1850312278817,3271.92103095406,0.95,0.49,0.05,-113.376962469605,50.510431414006,3267.02592870266,0.85,0.07,0.09,-36.0092850085065,-62.4064897281308,3401.02706132902,0.95,0.49,0.05,-169.600989495385,-134.600143937553,3275.51161684335,0.85,0.07,0.09,-133.22442299525,-137.446210303769,3343.80022662958,0.95,0.49,0.05,297.136545211768,295.687926033107,3297.92458501288,0.1,0.66,0.03,415.919522427862,477.566099983903,3399.64246470136,0.96,0.94,0.08,248.680260742909,521.319753783788,3429.83319528463,0.25,0.08,0.96,291.491950576801,345.867635469395,3513.04419542678,0.78,0.08,0.96,373.89268465685,577.145371831401,3445.40063754559,0.25,0.08,0.96,363.223776333204,500.458287237178,3561.73284563398,0.78,0.08,0.96,0.309129838224916,-91.1190006827261,3156.62705377993,0,0,0,13.1136168036145,-107.645797098751,3172.16462700837,0.4,0.4,0.4
-27.0764658095519,-86.7219111640386,3184.48203047337,0.12,0.8,1,17.4924115356617,-46.3309797610704,3124.88994198024,0.56,0.9,1,71.7472885473886,-131.84938310525,3186.06796889032,0.56,0.9,1,101.820310267141,-41.1716027765248,3174.54675189898,0.1,0.66,0.03,-15.3724849112006,24.1635932070307,3217.82793302656,0.85,0.07,0.09,40.5746679997675,-107.014294460533,3270.61168261492,0.95,0.49,0.05,-114.000728654691,48.2598970573832,3268.20432448623,0.85,0.07,0.09,-38.557039150505,-68.8990526614698,3398.11676243851,0.95,0.49,0.05,-166.965914430238,-132.418490437134,3276.85215323905,0.85,0.07,0.09,-131.713547770419,-137.183065737101,3343.16146361122,0.95,0.49,0.05,295.668500220043,294.526397942979,3297.02363596376,0.1,0.66,0.03,413.852243407761,476.983715561876,3400.41590438724,0.96,0.94,0.08,245.390892413599,521.074740150369,3426.30970484085,0.25,0.08,0.96,286.188547476068,357.171488187801,3512.26340517644,0.78,0.08,0.96,374.112112278986,575.639296911351,3442.7814950824,0.25,0.08,0.96,361.324175447392,497.815884656437,3563.73000442421,0.78,0.08,0.96,-0.473300120675359,-88.6371855632772,3158.24454793915,0,0,0,11.0486001337792,-106.395879472212,3170.94623368726,0.4,0.4,0.4
-26.6360933536608,-86.9184356533242,3186.81058564363,0.12,0.8,1,14.2190029831662,-46.5711544837915,3120.30336082429,0.56,0.9,1,113.344787527634,-100.881411812981,3175.33538578328,0.56,0.9,1,102.902097715933,-39.5455905371839,3172.4077413232,0.1,0.66,0.03,-13.4332029916156,25.6672766829481,3217.16699737918,0.85,0.07,0.09,102.536044697487,-17.7746006905173,3268.96776033164,0.95,0.49,0.05,-115.649836350423,51.5424963703093,3265.24248239994,0.85,0.07,0.09,-15.0586340547545,-69.9143283019289,3395.09293585426,0.95,0.49,0.05,-165.043152636549,-128.62214669239,3276.10811791961,0.85,0.07,0.09,-109.635231514408,-113.698097159318,3345.98796303316,0.95,0.49,0.05,297.297209814944,292.737714919416,3298.79116950043,0.1,0.66,0.03,413.899671959461,475.482072950787,3398.96327736873,0.96,0.94,0.08,245.326903278574,521.138728283947,3424.69159731199,0.25,0.08,0.96,291.27622372253,341.927552040553,3513.65965498974,0.78,0.08,0.96,374.65436633946,574.700650375443,3442.85275879277,0.25,0.08,0.96,362.031191218131,502.977200866099,3562.33529963824,0.78,0.08,0.96,-0.112353473199053,-88.6898052148595,3156.53659486349,0,0,0,12.1310675929486,-99.4106152809636,3173.93039530648,0.4,0.4,0.4
-26.635816224695,-84.2449867939236,3185.40551202217,0.12,0.8,1,16.9959496228233,-48.5392138989261,3120.27914670754,0.56,0.9,1,107.515230687373,-103.295620763582,3177.36627900831,0.56,0.9,1,104.313024883228,-38.1714958687351,3173.50512622354,0.1,0.66,0.03,-16.6210321662577,31.0125067493866,3216.39741143868,0.85,0.07,0.09,37.1340804385287,-103.81021255783,3270.17700759715,0.95,0.49,0.05,-116.501212927095,54.4149822298896,3265.96918048375,0.85,0.07,0.09,-17.4058989067011,-69.7576951361452,3398.82025403406,0.95,0.49,0.05,-163.16013779911,-128.549005978695,3277.32614773078,0.85,0.07,0.09,-109.948072412462,-117.224731738152,3344.09201706689,0.95,0.49,0.05,298.00362172049,292.218594397862,3296.30604599586,0.1,0.66,0.03,415.218181041573,476.32716223988,3398.13946784605,0.96,0.94,0.08,246.75127614724,520.003556981733,3424.29024260383,0.25,0.08,0.96,287.476254499171,356.36057595792,3514.89456004468,0.78,0.08,0.96,374.522097995188,576.682317807847,3441.9484188261,0.25,0.08,0.96,363.197495651548,501.077931535623,3563.9682562244,0.78,0.08,0.96,-0.990566500056005,-87.6986809026192,3156.84285283595,0,0,0,10.9480522613318,-98.5731438941689,3171.84402062102,0.4,0.4,0.4
-28.0874016344699,-84.1353995511112,3184.23898338538,0.12,0.8,1,16.592132674877,-49.7678471306551,3117.426807423,0.56,0.9,1,106.497937493968,-104.898668106812,3175.05846454501,0.56,0.9,1,101.27667606008,-39.6742507613667,3173.36400399246,0.1,0.66,0.03,-16.9442842777141,26.2506265418778,3218.18506641377,0.85,0.07,0.09,97.6688173243641,-18.4728012655672,3267.83063096859,0.95,0.49,0.05,-118.328782328806,57.4907573324284,3265.04188513423,0.85,0.07,0.09,-18.3870235153534,-76.4356661196671,3394.93574897001,0.95,0.49,0.05,-163.392586792012,-127.439623152108,3273.60874259914,0.85,0.07,0.09,-109.833230351089,-124.197120934572,3340.48941108667,0.95,0.49,0.05,296.61129230906,292.017721873598,3293.76135711934,0.1,0.66,0.03,413.993014532984,476.945405484865,3396.22421365397,0.96,0.94,0.08,247.832890034708,519.868795978731,3424.41797110361,0.25,0.08,0.96,291.573547382925,347.522028413544,3514.49281793983,0.78,0.08,0.96,375.7058998673,577.131703030774,3443.8405123968,0.25,0.08,0.96,363.658277250869,502.940537448846,3563.03222984432,0.78,0.08,0.96,-0.910363500067947,-87.5203788419637,3151.8402962143,0,0,0,10.5162995580079,-98.0590941354788,3169.87253570723,0.4,0.4,0.4
